extern_id;term;Aantal
DAI068368771;D42200;2
DAI071205985;D41300;1
DAI071908536;D23340;2
DAI071908536;D23350;2
DAI067818307;D21200;2
DAI067818307;D23240;2
DAI073198862;D11000;1
DAI069518076;D21200;1
DAI113940165;D13300;3
DAI113940165;D13500;3
DAI113940165;E11000;3
DAI296099953;D12000;3
DAI296099953;D14100;3
DAI296099953;E16000;3
DAI068883455;D13500;1
DAI069305994;D23340;1
DAI072533102;D11000;2
DAI072533102;D11200;2
DAI296098450;D21300;3
DAI296098450;E11000;3
DAI296098450;E16000;3
DAI068913699;D12200;1
DAI067611702;D13500;1
DAI072461969;D12200;1
DAI074714864;D23340;1
DAI070161836;D36300;1
DAI068688970;D23340;2
DAI068688970;E11000;2
DAI067829015;D13100;3
DAI067829015;D21100;3
DAI067829015;D23340;3
DAI068452659;D21400;1
DAI069691509;D32000;2
DAI069691509;D33000;2
DAI070526729;D36000;1
DAI07475713X;D36400;1
DAI068337817;D70000;1
DAI068860277;D70000;1
DAI068296266;D52000;1
DAI070880921;D51000;1
DAI068477759;D51000;1
DAI074036866;D61000;1
DAI068512910;D41300;2
DAI068512910;D51000;2
DAI068346751;D54000;1
DAI074653474;D60000;1
DAI068967950;D51000;2
DAI068967950;D61000;2
DAI068869452;D32400;3
DAI068869452;D52000;3
DAI068869452;D54000;3
DAI298799820;D32000;2
DAI298799820;D33000;2
DAI068469691;D11600;2
DAI068469691;D70000;2
DAI071349111;D70000;1
DAI069096031;D42100;2
DAI069096031;D70000;2
DAI094874883;D33000;1
DAI068247575;D41200;2
DAI068247575;D41500;2
DAI068187467;D41200;2
DAI068187467;D41500;2
DAI068516770;D32000;2
DAI068516770;D41100;2
DAI068278314;D41600;2
DAI068278314;D42100;2
DAI073450065;D23233;1
DAI068433522;D23320;1
DAI344693988;D23100;1
DAI070830169;D21300;3
DAI070830169;D23120;3
DAI070830169;D23340;3
DAI072906405;D21500;2
DAI072906405;D21800;2
DAI067980902;D21200;2
DAI067980902;D21700;2
DAI069274150;D13700;1
DAI298799812;D12800;1
DAI304652598;D11100;3
DAI304652598;D16100;3
DAI304652598;D16300;3
DAI140281452;D12800;1
DAI070782482;D11500;1
DAI167923218;D15300;3
DAI167923218;D15400;3
DAI167923218;D15600;3
DAI069535760;D16100;1
DAI323250157;D23130;3
DAI323250157;D23340;3
DAI323250157;E11000;3
DAI072608870;D23340;1
DAI073837717;D12600;1
DAI068363176;D35100;1
DAI326089934;D36000;1
DAI068668228;D70000;1
DAI06829817X;D70000;1
DAI068574851;D62000;3
DAI068574851;D65000;3
DAI068574851;D70000;3
DAI071895353;D42100;3
DAI071895353;D42200;3
DAI071895353;D70000;3
DAI069154767;D16000;2
DAI069154767;D70000;2
DAI068670443;D66000;1
DAI069443807;D53000;2
DAI069443807;D60000;2
DAI068485522;D33000;2
DAI068485522;D63000;2
DAI072525649;D11000;2
DAI072525649;D11700;2
DAI068926464;D16000;2
DAI068926464;D70000;2
DAI344694925;D21700;1
DAI29651571X;D11600;2
DAI29651571X;D60000;2
DAI06890620X;D34000;1
DAI068459300;D23350;2
DAI068459300;D36000;2
DAI068496753;D41400;2
DAI068496753;D42200;2
DAI068597363;D41400;2
DAI068597363;D42200;2
DAI068331568;D41200;3
DAI068331568;D41500;3
DAI068331568;D66000;3
DAI073138835;D41600;2
DAI073138835;D42100;2
DAI074419633;D41300;1
DAI071149244;D41200;2
DAI071149244;D42200;2
DAI298199564;D41600;2
DAI298199564;D42100;2
DAI069443823;D61000;1
DAI068207166;D52000;2
DAI068207166;D61000;2
DAI068136870;D63000;2
DAI068136870;E13000;2
DAI073175749;D23231;2
DAI073175749;D53000;2
DAI069532311;D32000;1
DAI073412368;D52000;3
DAI073412368;D54000;3
DAI073412368;D61000;3
DAI074314432;D21700;2
DAI074314432;D51000;2
DAI069987432;D68000;2
DAI069987432;D70000;2
DAI069710058;D23231;2
DAI069710058;D23310;2
DAI070542147;D11000;2
DAI070542147;D70000;2
DAI068722982;D62000;2
DAI068722982;D63000;2
DAI140810536;D62000;1
DAI068281927;D34000;2
DAI068281927;D62000;2
DAI07069835X;D23390;2
DAI07069835X;D68000;2
DAI069595127;D63000;1
DAI067677355;D11000;2
DAI067677355;D16000;2
DAI068285566;D51000;1
DAI071810161;D23140;2
DAI071810161;D23350;2
DAI07284308X;D70100;1
DAI069496978;D24000;1
DAI069234795;D42200;2
DAI069234795;D65000;2
DAI138451109;D12200;3
DAI138451109;D12800;3
DAI138451109;E16000;3
DAI14853919X;D13200;3
DAI14853919X;D13300;3
DAI14853919X;E16000;3
DAI070954607;D21300;1
DAI073939757;D23370;1
DAI068245599;D21100;2
DAI068245599;D25000;2
DAI071895493;D21700;3
DAI071895493;D24200;3
DAI071895493;D24300;3
DAI07005956X;D23310;1
DAI068492456;D21300;2
DAI068492456;D23222;2
DAI06845970X;D21200;2
DAI06845970X;D21300;2
DAI06776794X;D23222;1
DAI297707817;D23370;3
DAI297707817;D23380;3
DAI297707817;D24000;3
DAI06828005X;D23222;1
DAI07513666X;D21700;1
DAI070236925;D21400;1
DAI071322027;D23380;2
DAI071322027;D52000;2
DAI069546665;D23120;2
DAI069546665;D23200;2
DAI068415931;D23231;4
DAI068415931;D23363;4
DAI068415931;D51000;4
DAI068415931;D53000;4
DAI068228759;D23350;1
DAI071385649;D24000;2
DAI071385649;D61000;2
DAI068381514;D14900;3
DAI068381514;D20000;3
DAI068381514;D70000;3
DAI143784048;D21700;1
DAI069224641;D23330;1
DAI069861447;D23350;1
DAI06896790X;D24200;2
DAI06896790X;D51000;2
DAI070788545;D11600;5
DAI070788545;D14340;5
DAI070788545;D16200;5
DAI070788545;D16800;5
DAI070788545;D21100;5
DAI068505736;D41600;2
DAI068505736;D42100;2
DAI068255225;D41000;2
DAI068255225;D50000;2
DAI069161887;D42200;2
DAI069161887;D70000;2
DAI068388675;D23224;2
DAI068388675;D52000;2
DAI068844212;D41200;1
DAI068511310;D41400;1
DAI072608692;D41300;1
DAI070117462;D42100;2
DAI070117462;D70000;2
DAI068337736;D70000;1
DAI072827793;D42100;2
DAI072827793;D70000;2
DAI068417896;D70000;1
DAI068570376;D70000;1
DAI068388896;D32000;1
DAI06935202X;D11700;2
DAI06935202X;D70000;2
DAI068342101;D41200;1
DAI068534566;D41300;1
DAI073354244;D21300;5
DAI073354244;D21400;5
DAI073354244;D21700;5
DAI073354244;D22600;5
DAI073354244;E11000;5
DAI068367562;D21200;1
DAI068875681;D23340;1
DAI068416067;D16400;3
DAI068416067;D70000;3
DAI068416067;D70100;3
DAI074524569;D11600;3
DAI074524569;D11700;3
DAI074524569;D11800;3
DAI073521132;D14320;1
DAI072085665;D42100;2
DAI072085665;D69000;2
DAI068025343;D16000;1
DAI072360585;D12300;3
DAI072360585;D14400;3
DAI072360585;D14410;3
DAI073786063;D14400;2
DAI073786063;D14410;2
DAI298394928;D14340;1
DAI068349726;D11700;2
DAI068349726;D14340;2
DAI297551906;D14310;2
DAI297551906;D16100;2
DAI255965834;D12000;4
DAI255965834;D14100;4
DAI255965834;D14300;4
DAI255965834;E16000;4
DAI074242717;D11000;5
DAI074242717;D14310;5
DAI074242717;D14340;5
DAI074242717;D16100;5
DAI074242717;D66000;5
DAI092850715;D12600;2
DAI092850715;D12700;2
DAI068368925;D12300;4
DAI068368925;D12600;4
DAI068368925;D14320;4
DAI068368925;E16000;4
DAI067508391;D12200;1
DAI070397368;D13100;3
DAI070397368;D16000;3
DAI070397368;D52000;3
DAI298394723;D14500;1
DAI069372020;D13500;2
DAI069372020;D13600;2
DAI070286302;D11400;2
DAI070286302;D11700;2
DAI07039766X;D11100;3
DAI07039766X;D16200;3
DAI07039766X;D16300;3
DAI071774114;D11800;2
DAI071774114;D16000;2
DAI298394650;D11400;1
DAI073492779;D11100;1
DAI070788820;D11800;2
DAI070788820;D12200;2
DAI068557183;D11600;4
DAI068557183;D11700;4
DAI068557183;D16100;4
DAI068557183;D16300;4
DAI069798338;D14000;2
DAI069798338;D32100;2
DAI068254504;D14000;5
DAI068254504;D35000;5
DAI068254504;D42100;5
DAI068254504;D66000;5
DAI068254504;D70000;5
DAI068377827;D11600;2
DAI068377827;D11700;2
DAI074178709;D13100;1
DAI068920350;D41500;2
DAI068920350;D70000;2
DAI069937044;D12100;4
DAI069937044;D12200;4
DAI069937044;D14340;4
DAI069937044;D16800;4
DAI074206133;D42100;3
DAI074206133;D70000;3
DAI074206133;E13000;3
DAI08456251X;D16400;2
DAI08456251X;D70000;2
DAI07035748X;D42000;2
DAI07035748X;D70000;2
DAI297549014;D13300;2
DAI297549014;D13600;2
DAI068376723;D11800;2
DAI068376723;D12200;2
DAI322488419;D14310;2
DAI322488419;D16000;2
DAI191320544;D12100;3
DAI191320544;D14300;3
DAI191320544;D16600;3
DAI07342627X;D16100;2
DAI07342627X;D16200;2
DAI073697745;D11100;2
DAI073697745;D16100;2
DAI070698465;D11600;1
DAI070077606;D14320;2
DAI070077606;D16100;2
DAI070946078;D11400;2
DAI070946078;D11500;2
DAI068612206;D42200;3
DAI068612206;D61000;3
DAI068612206;D70000;3
DAI069535728;D12100;6
DAI069535728;D12300;6
DAI069535728;D14100;6
DAI069535728;D14300;6
DAI069535728;D14320;6
DAI069535728;E16000;6
DAI236425919;D12300;5
DAI236425919;D14100;5
DAI236425919;D14320;5
DAI236425919;D16100;5
DAI236425919;E16000;5
DAI068426372;D16500;5
DAI068426372;D16800;5
DAI068426372;D51000;5
DAI068426372;D52000;5
DAI068426372;D66000;5
DAI074199161;D16100;1
DAI068586701;D66000;1
DAI068299567;D13300;4
